sample,source,transplant
Ssid284,FR,FR
Ssid401,NS,FR
Ssid402,FR,BR
Ssid405,NS,FR
Ssid409,BR,FR
Ssid411,FR,NS
Ssid412,FR,BR
Ssid413,NS,FR
Ssid415,FR,BR
Ssid416,BR,NS
Ssid417,NS,NS
Ssid418,BR,BR
Ssid429,NS,FR
Ssid430,NS,FR
Ssid435,NS,NS
Ssid436,FR,FR
Ssid438,BR,BR
Ssid440,BR,NS
Ssid444,FR,FR
Ssid445,BR,FR
Ssid446,BR,BR
Ssid447,NS,FR
Ssid450,FR,BR
Ssid451,NS,BR
Ssid454,BR,BR
Ssid455,FR,FR
Ssid456F,BR,FR
Ssid457,BR,FR
Ssid458,BR,NS
Ssid460,FR,BR
Ssid461,FR,BR
Ssid463,FR,FR
Ssid464,NS,BR
Ssid467,FR,NS
Ssid470,BR,FR
Ssid471,NS,BR
Ssid472,BR,BR
Ssid476,BR,FR
Ssid477,NS,BR
Ssid495,FR,FR
Ssid497,NS,NS
Ssid498,NS,BR
Ssid499,BR,BR
SsidUNK,NS,NS