"","colony","source","trans","TP","rate","estimate","lowerci","upperci"
"1","447","NS","FR","y23","0.817579455",0.786002211238452,0.606127910340778,0.964145143464328
"2","401","NS","FR","y23","0.577594622",0.786002211238452,0.606127910340778,0.964145143464328
"3","430","NS","FR","y23","0.805243664",0.786002211238452,0.606127910340778,0.964145143464328
"4","429","NS","FR","y23","1.119818109",0.786002211238452,0.606127910340778,0.964145143464328
"5","405","NS","FR","y23","0.832339354",0.786002211238452,0.606127910340778,0.964145143464328
"6","413","NS","FR","y23","0.553017142",0.786002211238452,0.606127910340778,0.964145143464328
"9","470","BR","FR","y23","0.464176401",0.577870988235565,0.360013158515921,0.800032621243195
"10","456F","BR","FR","y23","0.626842672",0.577870988235565,0.360013158515921,0.800032621243195
"11","409","BR","FR","y23","0.609605083",0.577870988235565,0.360013158515921,0.800032621243195
"12","476","BR","FR","y23","0.605237811",0.577870988235565,0.360013158515921,0.800032621243195
"13","455","FR","FR","y23","0.611971375",0.991137167560769,0.815931239169903,1.16878835142591
"14","284","FR","FR","y23","1.221294799",0.991137167560769,0.815931239169903,1.16878835142591
"15","495","FR","FR","y23","0.924454631",0.991137167560769,0.815931239169903,1.16878835142591
"16","436","FR","FR","y23","0.868991348",0.991137167560769,0.815931239169903,1.16878835142591
"17","463","FR","FR","y23","1.209379028",0.991137167560769,0.815931239169903,1.16878835142591
"18","444","FR","FR","y23","1.113001551",0.991137167560769,0.815931239169903,1.16878835142591
"19","498","NS","BR","y23","0.695416595",0.586832075389437,0.391749385450841,0.789038875415301
"20","477","NS","BR","y23","0.671696972",0.586832075389437,0.391749385450841,0.789038875415301
"21","451","NS","BR","y23","0.343969142",0.586832075389437,0.391749385450841,0.789038875415301
"22","471","NS","BR","y23","0.644165078",0.586832075389437,0.391749385450841,0.789038875415301
"24","464","NS","BR","y23","0.578039188",0.586832075389437,0.391749385450841,0.789038875415301
"25","415","FR","BR","y23","0.98511938",0.777413051235861,0.600716429931343,0.951869899238537
"26","450","FR","BR","y23","0.818920514",0.777413051235861,0.600716429931343,0.951869899238537
"27","412","FR","BR","y23","0.61243245",0.777413051235861,0.600716429931343,0.951869899238537
"28","460","FR","BR","y23","0.739618616",0.777413051235861,0.600716429931343,0.951869899238537
"29","402","FR","BR","y23","0.801359073",0.777413051235861,0.600716429931343,0.951869899238537
"30","461","FR","BR","y23","0.710025473",0.777413051235861,0.600716429931343,0.951869899238537
"31","418","BR","BR","y23","0.557706163",0.526354230409193,0.348721466082935,0.706712199858734
"32","446","BR","BR","y23","0.357860666",0.526354230409193,0.348721466082935,0.706712199858734
"33","454","BR","BR","y23","0.304552504",0.526354230409193,0.348721466082935,0.706712199858734
"34","499","BR","BR","y23","0.52882264",0.526354230409193,0.348721466082935,0.706712199858734
"35","472","BR","BR","y23","0.463960657",0.526354230409193,0.348721466082935,0.706712199858734
"36","438","BR","BR","y23","0.952857794",0.526354230409193,0.348721466082935,0.706712199858734
"37","411","FR","NS","y23","0.618435794",0.518977513985506,0.258800279118749,0.77906625480866
"38","467","FR","NS","y23","0.293044169",0.518977513985506,0.258800279118749,0.77906625480866
"42","496","FR","NS","y23","0.642780525",0.518977513985506,0.258800279118749,0.77906625480866
"43","440","BR","NS","y23","0.34883736",0.567376553919634,0.343836271741001,0.775390972688582
"45","414","BR","NS","y23","0.854258816",0.567376553919634,0.343836271741001,0.775390972688582
"46","416","BR","NS","y23","0.556429975",0.567376553919634,0.343836271741001,0.775390972688582
"48","458","BR","NS","y23","0.508890845",0.567376553919634,0.343836271741001,0.775390972688582
"49","417","NS","NS","y23","0.573750197",0.727069781919129,0.502569106477043,0.945848837511201
"51","420","NS","NS","y23","0.829083796",0.727069781919129,0.502569106477043,0.945848837511201
"52","435","NS","NS","y23","0.744232864",0.727069781919129,0.502569106477043,0.945848837511201
"53","497","NS","NS","y23","0.771178713",0.727069781919129,0.502569106477043,0.945848837511201
"55","447","NS","FR","y34","0.813125877",0.673760402308389,0.493445672672976,0.857794683522205
"56","401","NS","FR","y34","0.803096553",0.673760402308389,0.493445672672976,0.857794683522205
"57","430","NS","FR","y34","0.762233705",0.673760402308389,0.493445672672976,0.857794683522205
"58","429","NS","FR","y34","0.261668659",0.673760402308389,0.493445672672976,0.857794683522205
"59","405","NS","FR","y34","0.695077564",0.673760402308389,0.493445672672976,0.857794683522205
"60","413","NS","FR","y34","0.714414652",0.673760402308389,0.493445672672976,0.857794683522205
"63","470","BR","FR","y34","0.406407947",0.408653353880635,0.18386618614786,0.631838525883857
"64","456F","BR","FR","y34","0.368395226",0.408653353880635,0.18386618614786,0.631838525883857
"65","409","BR","FR","y34","0.468896902",0.408653353880635,0.18386618614786,0.631838525883857
"66","476","BR","FR","y34","0.383622444",0.408653353880635,0.18386618614786,0.631838525883857
"67","455","FR","FR","y34","0.872826969",0.703639679170212,0.527148725633457,0.877785797312954
"68","284","FR","FR","y34","0.663172743",0.703639679170212,0.527148725633457,0.877785797312954
"69","495","FR","FR","y34","0.761048608",0.703639679170212,0.527148725633457,0.877785797312954
"70","436","FR","FR","y34","0.72856579",0.703639679170212,0.527148725633457,0.877785797312954
"71","463","FR","FR","y34","0.203527653",0.703639679170212,0.527148725633457,0.877785797312954
"72","444","FR","FR","y34","0.995217036",0.703639679170212,0.527148725633457,0.877785797312954
"73","498","NS","BR","y34","0.855561121",0.759791538837328,0.569374381289933,0.956032998698643
"74","477","NS","BR","y34","0.813618489",0.759791538837328,0.569374381289933,0.956032998698643
"75","451","NS","BR","y34","0.427621193",0.759791538837328,0.569374381289933,0.956032998698643
"76","471","NS","BR","y34","0.946433346",0.759791538837328,0.569374381289933,0.956032998698643
"78","464","NS","BR","y34","0.758267907",0.759791538837328,0.569374381289933,0.956032998698643
"79","415","FR","BR","y34","0.913461497",0.831395754786992,0.650827436967047,1.00821291130305
"80","450","FR","BR","y34","0.744732309",0.831395754786992,0.650827436967047,1.00821291130305
"81","412","FR","BR","y34","0.593543556",0.831395754786992,0.650827436967047,1.00821291130305
"82","460","FR","BR","y34","1.006755298",0.831395754786992,0.650827436967047,1.00821291130305
"83","402","FR","BR","y34","0.912753095",0.831395754786992,0.650827436967047,1.00821291130305
"84","461","FR","BR","y34","0.801421653",0.831395754786992,0.650827436967047,1.00821291130305
"85","418","BR","BR","y34","0.718445516",0.60887790584256,0.429260897506127,0.785118741644444
"86","446","BR","BR","y34","0.242937477",0.60887790584256,0.429260897506127,0.785118741644444
"87","454","BR","BR","y34","0.694242765",0.60887790584256,0.429260897506127,0.785118741644444
"88","499","BR","BR","y34","0.646150451",0.60887790584256,0.429260897506127,0.785118741644444
"89","472","BR","BR","y34","0.722063206",0.60887790584256,0.429260897506127,0.785118741644444
"90","438","BR","BR","y34","0.630105501",0.60887790584256,0.429260897506127,0.785118741644444
"91","411","FR","NS","y34","0.443957223",0.25475915667051,-0.0572859594085142,0.566930351233009
"92","467","FR","NS","y34","0.065485042",0.25475915667051,-0.0572859594085142,0.566930351233009
"100","416","BR","NS","y34","0.928393957",0.619665787940773,0.316118101626703,0.927582775264325
"102","458","BR","NS","y34","0.309967263",0.619665787940773,0.316118101626703,0.927582775264325
"103","417","NS","NS","y34","0.523653622",0.587666783214541,0.3752182697696,0.800249206857109
"105","420","NS","NS","y34","0.500930689",0.587666783214541,0.3752182697696,0.800249206857109
"106","435","NS","NS","y34","0.682101754",0.587666783214541,0.3752182697696,0.800249206857109
"107","497","NS","NS","y34","0.650714246",0.587666783214541,0.3752182697696,0.800249206857109
"109","447","NS","FR","y45","1.034994864",0.840634657838293,0.618669147905803,1.05372486304172
"111","430","NS","FR","y45","1.097322057",0.840634657838293,0.618669147905803,1.05372486304172
"112","429","NS","FR","y45","0.366612356",0.840634657838293,0.618669147905803,1.05372486304172
"113","405","NS","FR","y45","0.862522078",0.840634657838293,0.618669147905803,1.05372486304172
"117","470","BR","FR","y45","0.720229234",0.926194433881154,0.673999484926847,1.1799869989308
"119","409","BR","FR","y45","1.067209839",0.926194433881154,0.673999484926847,1.1799869989308
"120","476","BR","FR","y45","0.988152207",0.926194433881154,0.673999484926847,1.1799869989308
"121","455","FR","FR","y45","0.929514378",1.04587239863848,0.862111156389826,1.22589401453201
"122","284","FR","FR","y45","1.163822102",1.04587239863848,0.862111156389826,1.22589401453201
"123","495","FR","FR","y45","0.985525648",1.04587239863848,0.862111156389826,1.22589401453201
"124","436","FR","FR","y45","0.796562983",1.04587239863848,0.862111156389826,1.22589401453201
"125","463","FR","FR","y45","1.006733105",1.04587239863848,0.862111156389826,1.22589401453201
"126","444","FR","FR","y45","1.386840976",1.04587239863848,0.862111156389826,1.22589401453201
"128","477","NS","BR","y45","1.169454732",0.922699690269641,0.703669304045387,1.12982788635437
"129","451","NS","BR","y45","0.659115901",0.922699690269641,0.703669304045387,1.12982788635437
"130","471","NS","BR","y45","1.080113742",0.922699690269641,0.703669304045387,1.12982788635437
"132","464","NS","BR","y45","0.791030668",0.922699690269641,0.703669304045387,1.12982788635437
"133","415","FR","BR","y45","1.249904178",1.260715025277,1.0458732984065,1.48452809212568
"134","450","FR","BR","y45","0.631733343",1.260715025277,1.0458732984065,1.48452809212568
"136","460","FR","BR","y45","1.286563475",1.260715025277,1.0458732984065,1.48452809212568
"137","402","FR","BR","y45","1.883520376",1.260715025277,1.0458732984065,1.48452809212568
"140","446","BR","BR","y45","0.851879306",0.95573845943622,0.73847962724107,1.17262578127525
"141","454","BR","BR","y45","0.905205486",0.95573845943622,0.73847962724107,1.17262578127525
"142","499","BR","BR","y45","0.728842325",0.95573845943622,0.73847962724107,1.17262578127525
"144","438","BR","BR","y45","1.344543737",0.95573845943622,0.73847962724107,1.17262578127525
"145","411","FR","NS","y45","1.13213002",0.985867442541108,0.670776974031434,1.28887595024563
"146","467","FR","NS","y45","0.841402949",0.985867442541108,0.670776974031434,1.28887595024563
"154","416","BR","NS","y45","1.574258555",1.47874918408773,1.17679923947198,1.79600022925099
"156","458","BR","NS","y45","1.381725714",1.47874918408773,1.17679923947198,1.79600022925099
"157","417","NS","NS","y45","1.097256017",1.32999946103461,1.12155887961659,1.55198915832037
"159","420","NS","NS","y45","1.4530719",1.32999946103461,1.12155887961659,1.55198915832037
"160","435","NS","NS","y45","1.642096526",1.32999946103461,1.12155887961659,1.55198915832037
"161","497","NS","NS","y45","1.121514607",1.32999946103461,1.12155887961659,1.55198915832037
